Segment,End Use,Construction Vintage,Efficiency Level,Efficiency Description,Start Efficiency Share,End Efficiency Share,Start Year,End Year,Interpolate Efficiency Share,Customer Class
Multifamily - High Rise,Lighting Interior Standard,New,2,Halogen - EISA Standard,0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Lighting Interior Standard,New,3,EISA 2020 Backstop Interior Lamp,0.144567011,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Lighting Interior Standard,New,4,CFL,0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Lighting Interior Standard,New,5,Market Average Lighting Interior,0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Lighting Interior Standard,New,6,LED,0.8554329890000001,1.0,2021,2041,linear,Residential
Multifamily - High Rise,Microwave,Existing,1,Federal Standard 2016 Microwave,0.727272727,0.727272727,2021,2041,linear,Residential
Multifamily - High Rise,Microwave,Existing,2,Market Average Microwave,0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Microwave,Existing,3,TSL4 Efficiency,0.272727273,0.272727273,2021,2041,linear,Residential
Multifamily - High Rise,Microwave,New,1,Federal Standard 2016 Microwave,0.727272727,0.727272727,2021,2041,linear,Residential
Multifamily - High Rise,Microwave,New,2,Market Average Microwave,0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Microwave,New,3,TSL4 Efficiency,0.272727273,0.272727273,2021,2041,linear,Residential
Multifamily - High Rise,Monitor,Existing,1,Standard Monitor,0.875,0.875,2021,2041,linear,Residential
Multifamily - High Rise,Monitor,Existing,2,ENERGY STAR Display,0.125,0.125,2021,2041,linear,Residential
Multifamily - High Rise,Monitor,New,1,Standard Monitor,0.875,0.875,2021,2041,linear,Residential
Multifamily - High Rise,Monitor,New,2,ENERGY STAR Display,0.125,0.125,2021,2041,linear,Residential
Multifamily - High Rise,Multifunction Device,Existing,1,Standard Multifunction Device (All-in-one),0.033333333,0.033333333,2021,2041,linear,Residential
Multifamily - High Rise,Multifunction Device,Existing,2,ENERGY STAR Multifunction Device (All-in-one),0.966666667,0.966666667,2021,2041,linear,Residential
Multifamily - High Rise,Multifunction Device,New,1,Standard Multifunction Device (All-in-one),0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Multifunction Device,New,2,ENERGY STAR Multifunction Device (All-in-one),1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise,Other,Existing,1,Other Equipment End Use,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise,Other,New,1,Other Equipment End Use,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise,Plug Load Other,Existing,1,Plug Load Other Equipment End Use,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise,Plug Load Other,New,1,Plug Load Other Equipment End Use,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise,Printer,Existing,1,Standard Office Printer,0.8761880999999999,0.876188071,2021,2041,linear,Residential
Multifamily - High Rise,Printer,Existing,2,ENERGY STAR Office Printer,0.123811929,0.123811929,2021,2041,linear,Residential
Multifamily - High Rise,Printer,New,1,Standard Office Printer,0.8761880999999999,0.876188071,2021,2041,linear,Residential
Multifamily - High Rise,Printer,New,2,ENERGY STAR Office Printer,0.123811929,0.123811929,2021,2041,linear,Residential
Multifamily - High Rise,Refrigerator,Existing,1,Below Federal Standard 2014 Refrigerator,0.843137255,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Refrigerator,Existing,2,Federal Standard 2014 Refrigerator,0.058823529000000006,0.901960784,2021,2041,linear,Residential
Multifamily - High Rise,Refrigerator,Existing,3,Market Average Refrigerator,0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Refrigerator,Existing,4,Refrig and Refrig-Freezer - CEE Tier 1,0.032679739,0.032679739,2021,2041,linear,Residential
Multifamily - High Rise,Refrigerator,Existing,5,Refrig and Refrig-Freezer - CEE Tier 2,0.032679739,0.032679739,2021,2041,linear,Residential
Multifamily - High Rise,Refrigerator,Existing,6,Refrig and Refrig-Freezer - CEE Tier 3,0.032679739,0.032679739,2021,2041,linear,Residential
Multifamily - High Rise,Refrigerator,New,1,Below Federal Standard 2014 Refrigerator,0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Refrigerator,New,2,Federal Standard 2014 Refrigerator,0.901960784,0.901960784,2021,2041,linear,Residential
Multifamily - High Rise,Refrigerator,New,3,Market Average Refrigerator,0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Refrigerator,New,4,Refrig and Refrig-Freezer - CEE Tier 1,0.032679739,0.032679739,2021,2041,linear,Residential
Multifamily - High Rise,Refrigerator,New,5,Refrig and Refrig-Freezer - CEE Tier 2,0.032679739,0.032679739,2021,2041,linear,Residential
Multifamily - High Rise,Refrigerator,New,6,Refrig and Refrig-Freezer - CEE Tier 3,0.032679739,0.032679739,2021,2041,linear,Residential
Multifamily - High Rise,Set Top Box,Existing,1,Standard Set Top Box,0.235294118,0.235294118,2021,2041,linear,Residential
Multifamily - High Rise,Set Top Box,Existing,2,ENERGY STAR Set Top Box,0.764705882,0.764705882,2021,2041,linear,Residential
Multifamily - High Rise,Set Top Box,New,1,Standard Set Top Box,0.235294118,0.235294118,2021,2041,linear,Residential
Multifamily - High Rise,Set Top Box,New,2,ENERGY STAR Set Top Box,0.764705882,0.764705882,2021,2041,linear,Residential
Multifamily - High Rise,Television,Existing,1,Market Average TV,0.264705882,0.264705882,2021,2041,linear,Residential
Multifamily - High Rise,Television,Existing,2,ENERGY STAR Ultra-High Definition TV,0.735294118,0.735294118,2021,2041,linear,Residential
Multifamily - High Rise,Television,New,1,Market Average TV,0.264705882,0.264705882,2021,2041,linear,Residential
Multifamily - High Rise,Television,New,2,ENERGY STAR Ultra-High Definition TV,0.735294118,0.735294118,2021,2041,linear,Residential
Multifamily - High Rise,Ventilation - Air,Existing,1,Below Standard Motor,0.802369,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Ventilation - Air,Existing,2,Federal Standard 2019 ECM Fan Motor,0.197631,1.0,2021,2041,linear,Residential
Multifamily - High Rise,Ventilation - Air,New,1,Below Standard Motor,0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Ventilation - Air,New,2,Federal Standard 2019 ECM Fan Motor,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise,Waste Water,Existing,1,Waste Water Equipment End Use,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise,Waste Water,New,1,Waste Water Equipment End Use,1.0,1.0,2021,2041,linear,Residential
Multifamily - High Rise,Water Heat GT 55 Gal,Existing,1,Below Standard Storage Water Heater,0.764995781,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Water Heat GT 55 Gal,Existing,2,Federal Standard 2015 Heat Pump Water Heater,0.092297337,0.857293118,2021,2041,linear,Residential
Multifamily - High Rise,Water Heat GT 55 Gal,Existing,3,Market Standard Water Heater,0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Water Heat GT 55 Gal,Existing,4,Tier 2 Heat Pump Water Heater,0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Water Heat GT 55 Gal,Existing,5,Tier 3 Heat Pump Water Heater,0.14270688199999998,0.14270688199999998,2021,2041,linear,Residential
Multifamily - High Rise,Water Heat GT 55 Gal,Existing,6,SHW Solar Zone 1,0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Water Heat GT 55 Gal,New,1,Below Standard Storage Water Heater,0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Water Heat GT 55 Gal,New,2,Federal Standard 2015 Heat Pump Water Heater,0.857293118,0.857293118,2021,2041,linear,Residential
Multifamily - High Rise,Water Heat GT 55 Gal,New,3,Market Standard Water Heater,0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Water Heat GT 55 Gal,New,4,Tier 2 Heat Pump Water Heater,0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Water Heat GT 55 Gal,New,5,Tier 3 Heat Pump Water Heater,0.14270688199999998,0.14270688199999998,2021,2041,linear,Residential
Multifamily - High Rise,Water Heat GT 55 Gal,New,6,SHW Solar Zone 1,0.0,0.0,2021,2041,linear,Residential
Multifamily - High Rise,Water Heat LE 55 Gal,Existing,1,Below Standard Storage Water Heater,0.486107485,0.0,2021,2041,linear,Residential
